worker_id,mine_id,contractor_id,employee_type,name,role,department,shift,competency,training_valid_until,training_status,fitness_valid_until,fitness_status,ppe_status,attendance_status,work_area,created_at,data_source
WRK-00068,M002,,EMPLOYEE,Demo Worker WRK-00068,Safety Assistant,Operations,B,TRAINEE,2027-10-22,VALID,2026-08-04,EXPIRED,PARTIAL,PRESENT,West Dump,2025-07-10,DEMO_SYNTHETIC
WRK-00069,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00069,Pump Operator,Production,A,SUPERVISED,2027-01-17,VALID,2027-01-20,VALID,COMPLIANT,PRESENT,Workshop,2023-11-19,DEMO_SYNTHETIC
WRK-00070,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00070,Fitter,Operations,B,TRAINEE,2026-08-13,EXPIRED,2027-02-26,VALID,COMPLIANT,ABSENT,Surface Office,2024-09-20,DEMO_SYNTHETIC
WRK-00071,M002,,EMPLOYEE,Demo Worker WRK-00071,Safety Assistant,Safety,A,TRAINEE,2026-12-25,VALID,2026-10-19,VALID,PARTIAL,OFF_SHIFT,Haul Road,2026-01-29,DEMO_SYNTHETIC
WRK-00072,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00072,Electrician,Mechanical,B,COMPETENT,2027-03-30,VALID,2027-07-01,VALID,COMPLIANT,PRESENT,Panel-1,2023-09-12,DEMO_SYNTHETIC
WRK-00073,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00073,Roof Bolter,Operations,A,COMPETENT,2026-10-18,VALID,2027-05-07,VALID,COMPLIANT,PRESENT,Surface Office,2024-03-30,DEMO_SYNTHETIC
WRK-00074,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00074,Safety Assistant,Production,A,TRAINEE,2027-08-28,VALID,2026-09-05,DUE_SOON,PARTIAL,PRESENT,Panel-1,2024-07-22,DEMO_SYNTHETIC
WRK-00075,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00075,Ventilation Assistant,Mechanical,B,TRAINEE,2027-01-07,VALID,2026-12-02,VALID,COMPLIANT,PRESENT,Workshop,2026-06-16,DEMO_SYNTHETIC
WRK-00076,M002,,EMPLOYEE,Demo Worker WRK-00076,General Worker,Mechanical,B,TRAINEE,2026-10-29,VALID,2027-09-02,VALID,PARTIAL,PRESENT,West Dump,2025-08-04,DEMO_SYNTHETIC
WRK-00077,M002,,EMPLOYEE,Demo Worker WRK-00077,General Worker,Safety,C,TRAINEE,2026-12-26,VALID,2026-11-08,VALID,COMPLIANT,ABSENT,West Dump,2026-06-07,DEMO_SYNTHETIC
WRK-00078,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00078,General Worker,Environment,C,SUPERVISED,2026-09-25,DUE_SOON,2026-12-25,VALID,COMPLIANT,PRESENT,Surface Office,2023-08-13,DEMO_SYNTHETIC
WRK-00079,M002,CTR-0005,CONTRACTOR,Demo Worker WRK-00079,Safety Assistant,Environment,B,COMPETENT,2026-10-15,VALID,2027-03-10,VALID,COMPLIANT,PRESENT,Panel-2,2025-08-26,DEMO_SYNTHETIC
WRK-00080,M002,CTR-0005,CONTRACTOR,Demo Worker WRK-00080,Safety Assistant,Production,C,TRAINEE,2026-08-31,EXPIRED,2026-08-21,EXPIRED,COMPLIANT,PRESENT,Coal Face,2024-07-20,DEMO_SYNTHETIC
WRK-00081,M002,,EMPLOYEE,Demo Worker WRK-00081,Ventilation Assistant,Environment,B,TRAINEE,2026-11-12,VALID,2026-08-14,EXPIRED,COMPLIANT,PRESENT,Coal Face,2025-03-10,DEMO_SYNTHETIC
WRK-00082,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00082,Ventilation Assistant,Operations,A,COMPETENT,2027-10-18,VALID,2027-03-22,VALID,COMPLIANT,PRESENT,Haul Road,2026-05-04,DEMO_SYNTHETIC
WRK-00083,M002,,EMPLOYEE,Demo Worker WRK-00083,Safety Assistant,Environment,A,SUPERVISED,2027-01-24,VALID,2027-01-28,VALID,COMPLIANT,ABSENT,Coal Face,2025-02-17,DEMO_SYNTHETIC
WRK-00084,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00084,Ventilation Assistant,Mechanical,A,COMPETENT,2027-10-23,VALID,2027-05-21,VALID,COMPLIANT,OFF_SHIFT,Workshop,2023-11-30,DEMO_SYNTHETIC
WRK-00085,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00085,Pump Operator,Environment,C,COMPETENT,2027-01-12,VALID,2026-10-28,VALID,PARTIAL,LEAVE,Panel-2,2026-02-23,DEMO_SYNTHETIC
WRK-00086,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00086,General Worker,Production,A,TRAINEE,2027-05-08,VALID,2027-01-21,VALID,NON_COMPLIANT,OFF_SHIFT,West Dump,2025-04-14,DEMO_SYNTHETIC
WRK-00087,M002,,EMPLOYEE,Demo Worker WRK-00087,Roof Bolter,Environment,A,COMPETENT,2027-09-30,VALID,2026-08-31,EXPIRED,NON_COMPLIANT,PRESENT,Workshop,2025-05-04,DEMO_SYNTHETIC
WRK-00088,M002,,EMPLOYEE,Demo Worker WRK-00088,Fitter,Operations,B,SUPERVISED,2026-11-08,VALID,2026-12-27,VALID,COMPLIANT,PRESENT,Panel-2,2025-08-26,DEMO_SYNTHETIC
WRK-00089,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00089,Ventilation Assistant,Electrical,A,SUPERVISED,2027-03-07,VALID,2027-07-22,VALID,NON_COMPLIANT,ABSENT,Panel-2,2025-06-14,DEMO_SYNTHETIC
WRK-00090,M002,,EMPLOYEE,Demo Worker WRK-00090,General Worker,Environment,C,SUPERVISED,2026-08-01,EXPIRED,2027-07-23,VALID,COMPLIANT,PRESENT,Panel-1,2024-05-26,DEMO_SYNTHETIC
WRK-00091,M003,,EMPLOYEE,Demo Worker WRK-00091,Drill Operator,Production,C,SUPERVISED,2026-12-13,VALID,2027-07-21,VALID,COMPLIANT,OFF_SHIFT,Coal Face,2025-09-25,DEMO_SYNTHETIC
WRK-00092,M003,CTR-0008,CONTRACTOR,Demo Worker WRK-00092,Survey Assistant,Electrical,C,COMPETENT,2026-07-24,EXPIRED,2027-02-13,VALID,COMPLIANT,PRESENT,Haul Road,2023-12-28,DEMO_SYNTHETIC
WRK-00093,M003,,EMPLOYEE,Demo Worker WRK-00093,Safety Assistant,Mechanical,B,SUPERVISED,2027-10-03,VALID,2026-10-18,VALID,COMPLIANT,PRESENT,Haul Road,2024-11-08,DEMO_SYNTHETIC
WRK-00094,M003,,EMPLOYEE,Demo Worker WRK-00094,General Worker,Safety,C,SUPERVISED,2027-08-10,VALID,2026-11-09,VALID,COMPLIANT,PRESENT,Panel-1,2024-10-12,DEMO_SYNTHETIC
WRK-00095,M003,,EMPLOYEE,Demo Worker WRK-00095,Drill Operator,Safety,B,TRAINEE,2027-07-17,VALID,2026-11-23,VALID,COMPLIANT,PRESENT,Panel-1,2024-01-15,DEMO_SYNTHETIC
WRK-00096,M003,CTR-0009,CONTRACTOR,Demo Worker WRK-00096,Survey Assistant,Environment,A,TRAINEE,2027-10-06,VALID,2027-07-26,VALID,COMPLIANT,LEAVE,West Dump,2026-01-30,DEMO_SYNTHETIC
WRK-00097,M003,CTR-0007,CONTRACTOR,Demo Worker WRK-00097,Electrician,Mechanical,A,COMPETENT,2026-11-18,VALID,2027-04-14,VALID,COMPLIANT,PRESENT,Panel-1,2023-08-24,DEMO_SYNTHETIC
WRK-00098,M003,,EMPLOYEE,Demo Worker WRK-00098,Excavator Operator,Production,B,COMPETENT,2027-01-10,VALID,2027-06-17,VALID,PARTIAL,ABSENT,Panel-1,2026-03-24,DEMO_SYNTHETIC
WRK-00099,M003,,EMPLOYEE,Demo Worker WRK-00099,Safety Assistant,Mechanical,C,SUPERVISED,2027-07-01,VALID,2027-04-10,VALID,COMPLIANT,PRESENT,Panel-2,2026-02-07,DEMO_SYNTHETIC
WRK-00100,M003,,EMPLOYEE,Demo Worker WRK-00100,Survey Assistant,Electrical,A,SUPERVISED,2027-04-16,VALID,2027-03-05,VALID,PARTIAL,PRESENT,Workshop,2026-01-11,DEMO_SYNTHETIC
WRK-00101,M003,,EMPLOYEE,Demo Worker WRK-00101,Fitter,Mechanical,B,TRAINEE,2027-05-25,VALID,2027-08-11,VALID,COMPLIANT,PRESENT,West Dump,2023-05-31,DEMO_SYNTHETIC
WRK-00102,M003,CTR-0009,CONTRACTOR,Demo Worker WRK-00102,Electrician,Safety,C,COMPETENT,2027-08-23,VALID,2026-11-15,VALID,COMPLIANT,PRESENT,Coal Face,2026-03-09,DEMO_SYNTHETIC
WRK-00103,M003,CTR-0007,CONTRACTOR,Demo Worker WRK-00103,Dumper Operator,Electrical,A,TRAINEE,2027-02-07,VALID,2026-08-25,EXPIRED,COMPLIANT,OFF_SHIFT,Coal Face,2024-11-18,DEMO_SYNTHETIC
WRK-00104,M003,,EMPLOYEE,Demo Worker WRK-00104,Dumper Operator,Mechanical,B,SUPERVISED,2026-12-08,VALID,2027-07-24,VALID,COMPLIANT,OFF_SHIFT,Haul Road,2023-06-23,DEMO_SYNTHETIC
WRK-00105,M003,,EMPLOYEE,Demo Worker WRK-00105,Drill Operator,Electrical,A,TRAINEE,2026-09-28,DUE_SOON,2026-11-01,VALID,PARTIAL,PRESENT,Panel-2,2026-01-11,DEMO_SYNTHETIC
WRK-00106,M003,CTR-0008,CONTRACTOR,Demo Worker WRK-00106,General Worker,Operations,A,TRAINEE,2027-03-12,VALID,2027-03-19,VALID,COMPLIANT,PRESENT,Haul Road,2025-09-12,DEMO_SYNTHETIC
WRK-00107,M003,,EMPLOYEE,Demo Worker WRK-00107,Fitter,Production,A,COMPETENT,2027-08-28,VALID,2027-05-23,VALID,PARTIAL,LEAVE,Panel-1,2026-03-06,DEMO_SYNTHETIC
WRK-00108,M003,,EMPLOYEE,Demo Worker WRK-00108,Electrician,Safety,B,COMPETENT,2027-08-08,VALID,2026-09-06,DUE_SOON,COMPLIANT,PRESENT,Haul Road,2026-01-02,DEMO_SYNTHETIC
WRK-00109,M003,,EMPLOYEE,Demo Worker WRK-00109,Fitter,Mechanical,C,COMPETENT,2027-06-30,VALID,2027-01-17,VALID,COMPLIANT,PRESENT,Surface Office,2024-08-17,DEMO_SYNTHETIC
WRK-00110,M003,,EMPLOYEE,Demo Worker WRK-00110,General Worker,Safety,A,SUPERVISED,2026-08-21,EXPIRED,2027-08-27,VALID,COMPLIANT,PRESENT,Coal Face,2026-02-06,DEMO_SYNTHETIC
WRK-00111,M003,,EMPLOYEE,Demo Worker WRK-00111,Fitter,Safety,B,TRAINEE,2026-07-27,EXPIRED,2027-05-10,VALID,COMPLIANT,PRESENT,Coal Face,2023-12-13,DEMO_SYNTHETIC
WRK-00112,M003,CTR-0008,CONTRACTOR,Demo Worker WRK-00112,Excavator Operator,Electrical,B,SUPERVISED,2026-07-24,EXPIRED,2026-11-26,VALID,PARTIAL,ABSENT,Workshop,2026-04-17,DEMO_SYNTHETIC
WRK-00113,M003,CTR-0009,CONTRACTOR,Demo Worker WRK-00113,Survey Assistant,Mechanical,B,COMPETENT,2027-06-30,VALID,2026-09-08,DUE_SOON,COMPLIANT,OFF_SHIFT,Panel-2,2025-12-26,DEMO_SYNTHETIC
WRK-00114,M003,,EMPLOYEE,Demo Worker WRK-00114,Drill Operator,Production,B,SUPERVISED,2026-10-26,VALID,2027-05-23,VALID,NON_COMPLIANT,PRESENT,Workshop,2023-07-07,DEMO_SYNTHETIC
